County,Population,Area,count
Nairobi,4397073,704,4397073
Kisumu,1155574,2085,1155574
Mombasa,1208333,220,1208333
Bungoma,1670570,3024,1670570
Mandera,867457,25942,867457
Turkana,926976,68233,926976
Marsabit,459785,70944,459785
Nyeri,759164,3325,759164
Nairobi,4397073,704,4397073
Embu,,2821,
